name,description,address,access,business_hours,holiday,phone_number,homepage,area
粟田神社,スサノオノミコト・オオナムチノミコトを主祭神として祀り、厄除け・病除けの神と崇敬される。京都の東の出入口である粟田口に鎮座する為、古来東山道・東海道を行き来する人々は旅の安全を願い、また道中の無事を感謝して当社にお参りされ、いつしか旅立ち守護・旅行安全の神として知られる。当社がある粟田口近辺には往古刀工が在住し、屋号は粟田口、あるいは三条通に面したことより三条小鍛冶とも号した。,京都市東山区粟田口鍛冶町1,地下鉄東山駅又は蹴上下車徒歩約5分市バス神宮道下車徒歩約3分,8:30～17:00,無休,075-551-3154,https://awatajinja.jp/,京都市東山区
安祥院,天慶五年（942年）朱雀天皇の勅願によって、天台座主尊意僧正が乙訓郡大藪郷に創建した大薮山仁王護国院という天台宗寺院が始まりといわれる。1725年（享保10）木食正禅養阿上人がこの地に再興されたという。安祥院の地蔵堂に安置する地蔵尊を「日限さん」と称し、日を限って祈願すれば諸願成就するという信仰がある。通常は一般公開されていないが、無病息災、家運隆盛、諸願成就を得ることができるという洛陽六阿弥陀巡拝の四番札所であることから、彼岸と毎月の功徳日には本堂の阿弥陀如来を拝むことができる。,京都市東山区五条通東大路東入遊行前町560,市バス「五条坂」下車、徒歩約5分,-,-,075-561-0655,-,京都市東山区
慈圓山安養寺,延暦年間（782〜806）に伝教大師 最澄が創建した古寺にはじまるという。平安時代末期、青蓮院の八世 慈円が既存の仏教界から弾圧を受けた法然、親鸞を庇護してこの地に住まわせ、吉水草案が建立された。この慈円による再建時に安養寺という寺名に改称された。現在も残る地名「円山（まるやま）」は安養寺の山号 「慈円山」に由来しており、この山号の元になっているのが中興の祖である名僧 慈円である。,京都市東山区八坂鳥居前東入円山町,市バス「祇園」下車、徒歩約15分,8：00～17：00,無休,075-561-5845,-,京都市東山区
住蓮山安楽寺,鎌倉時代のはじめ、浄土宗の開祖法然の弟子である住蓮房と安楽房が、専修念仏の道場として結んだ草庵にはじまる。7月に中風除けを祈願するカボチャ供養で有名である。通称として松虫鈴虫寺ともいわれる。春と秋に特別公開される。春には桜、初夏にはつつじやさつき、秋には紅葉が美しい。,京都市左京区鹿ヶ谷御所ノ段町21,市バス「錦林車庫前」下車、徒歩約10分,10：00～16：00（最終入山16：00）,-,075-771-5360,http://anrakuji-kyoto.com/,京都市左京区
安楽寿院,真言宗智山派の寺院。本尊は阿弥陀如来。京都の南に位置した鳥羽離宮の東殿に鳥羽上皇が造営した仏堂を起源とする皇室ゆかりの寺院である。境内に接して鳥羽天皇と近衛天皇の陵がある。本尊阿弥陀如来坐像（重文）、石造五輪塔（重文）、絹本着色孔雀明王像（重文）などの文化財を所蔵。,京都市伏見区竹田中内畑町74,地下鉄・近鉄電車「竹田」下車、徒歩約10分,-,-,075-601-4168,http://www.anraku.or.jp/,京都市伏見区
市比賣神社,平安京が開かれた翌年の795年、桓武天皇の命により創建され全国でも珍しい女人厄除けの神社。歴代皇后のご崇敬が篤いことでも知られる。ご祭神は5柱お祀りされてあり、そのすべて女神様。良縁・子授け・安産など女性に関するご利益ばかり。「五十日百日之祝」は生後五十日目か百日目に当社より「五十顆之餅」を授かり健やかな成長を祈り子供の口に含ませる現在のお食べ初めの発祥として知られている。,京都市下京区河原町五条下ル一筋目（市姫通）西入ル,京阪「清水五条」駅下車、徒歩5分市バス「河原町正面」下車、徒歩2分京都バス「河原町五条」下車、徒歩2分,-,-,075-361-2775,https://www.ichihime.net/,京都市下京区
新熊野神社,熊野信仰の盛んな平安時代末期、永暦元年（1160年）、後白河法皇によって創建された神社。後白河上皇は生涯で34回も熊野三山に参詣するほど熊野権現を信仰していたが、あまりにも紀伊国は遠くにあったため、頻繁に参詣することは難しかった。そこで自らが住まう法住寺殿のすぐそばに熊野権現を勧請し、建立された。以後は京の熊野信仰の中心地として大いに栄えた。「能楽発祥の地」ともされている。,京都市東山区今熊野椥（ナギ）ノ森町42,京阪電車「七条」または「東福寺」駅下車、徒歩約15分市バス「今熊野」下車、徒歩約3分,-,-,075-561-4892,http://imakumanojinja.or.jp,京都市東山区
新日吉神宮,永暦元年（1160年）、後白河上皇によって院の御所・法住寺殿の鎮守社として、日吉大社より山王七社（上七社）を勧請し、現在より南の地に新日吉社として創建される。同時に、新日吉社の別当寺とするために妙法院を比叡山延暦寺の山内から祇園社（八坂神社）の西側に移設している。縁結びの神が奉られている,京都市東山区妙法院前側町451-1,市バス「東山七条」下車、徒歩約5分,-,-,075-561-3769,http://www.imahie.com,京都市東山区
志明院,鴨川の水源地に位置し、天長6年（829）空海によって創建された。本尊不動明王は空海の直作といわれ、日本最古の不動明王像といわれている。司馬遼太郎が好んだ山寺でアニメ「もののけ姫」発案もこの森から。市の天然記念物に指定されている境内のしゃくなげ林は4月下旬から5月上旬が見頃。,京都市北区雲ケ畑出谷町261,地下鉄「北大路」駅より雲ヶ畑地域生活交通で「雲ヶ畑岩屋橋」下車（1日2本）,-,-,075-406-2061,-,京都市北区
岩屋神社,天忍穂耳命、栲幡千々姫命、饒速日命を祭神とする。本殿背後の山腹に奥之院あるいは岩屋殿と呼ばれる陰陽2つの巨巌があり、これを磐座として祀ったのが当社の起源である。社伝では、仁徳天皇31年の創建と伝えられる。,京都市山科区大宅中小路町67,京阪バス「大宅」下車、東へ徒歩約15分地下鉄東西線「椥辻」駅下車、東へ徒歩約25分,-,無休,075-571-0833,http://www.iwayanomori.org/shrine/,京都市山科区
引接寺（千本閻魔堂）,そもそもは現世と冥土を行き来して、閻魔法王とも交流したという伝承のある小野篁が、蓮台野の入口であるこの地に自ら閻魔法王の姿を刻んで祠を建立して祀ったのが当寺の始まりであるという。ご本尊の閻魔像は、日本最大級。紫式部の供養塔が建つ。,京都市上京区千本通蘆山寺上ル閻魔前町34,市バス「乾隆校前」または「千本鞍馬口」下車、徒歩約2分,-,-,075-462-3332,http://yenmado.blogspot.com/,京都市上京区
梅宮大社,京都市西部の梅津の地に鎮座する、四姓（源平藤橘）の1つの橘氏の氏神として知られる神社。元々は奈良時代に南方の綴喜郡井手町付近に創祀されたといわれ、のち平安時代前期に橘嘉智子（檀林皇后）によって現在地に遷座したとされる。子授けと安産の神として名高い。神苑では、梅や杜若、キリシマツツジ、花菖蒲、紫陽花などが、季節ごとに美しい花を咲かせる。,京都市右京区梅津フケノ川町30,阪急電車嵐山線「松尾大社」下車、徒歩約15分市バス「梅宮大社前」下車、徒歩約3分,9：00～17：00（受付終了16：30）,無休,075-861-2730,http://www.umenomiya.or.jp/,京都市右京区
圓通寺,その昔、後水尾上皇の幡枝離宮だったところで、修学院離宮の前身。また、一面に青苔がおおう枯山水庭園のかなたには木立を通して比叡山が眺められ、見事な借景式庭園となっている。四季折々の風情があじわえ、後水尾院の幡枝離宮の庭をそのまま今に伝えている。,京都市左京区岩倉幡枝町389,叡山電車「京都精華大」下車、徒歩約25分京都バス「自動車教習所前」下車、徒歩約10分京都バス「西幡枝(円通寺前)」下車、徒歩3分地下鉄烏丸線「北山」駅下車、徒歩約30分,10：00～16：30,毎週水曜日12月末に3日間（不定）特別法要日,075-781-1875,-,京都市左京区
圓徳院,高台寺の塔頭寺院のひとつで、高台寺を建立する前年の慶長11年（1605）に伏見城から化粧御殿と庭園を移築し、新たに客殿（現方丈）を建立したことに始まる。寛永元年（1624）に寺格を持ち、寛永4年に圓徳院の名を持つようになった。豊臣秀吉の正室・北政所（ねね）の終焉の地として知られている。,京都市東山区高台寺下河原町530,市バス206「東山安井」下車、徒歩5分京阪電車「祇園四条」下車、徒歩約20分阪急電車「京都河原町」下車、徒歩約20分,10：00～17：00,無休,075-525-0101,https://www.kodaiji.com/entoku-in/,京都市東山区
大石神社,昭和10年創建。赤穂事件、忠臣蔵にかかわる大石内蔵助がご祭神である。「忠臣蔵」とは、人形浄瑠璃・歌舞伎の『仮名手本忠臣蔵』の通称、および、この赤穂事件を基にした様々な作品群の総称である。毎年12月14日に義士祭が行われる。春には大石桜と呼ばれるしだれ桜が美しく咲き、見頃の時期にはライトアップも行われる。,京都市山科区西野山桜馬場町116,京阪バス「大石神社前」下車、徒歩約2分,9：00～16：00,なし,075-581-5645,http://www.ohishi-jinja.jp/,京都市山科区
大田神社,式内社で、現在は賀茂別雷神社（上賀茂神社）の境外摂社（第三摂社）。古くは「恩多社（おんたしゃ）」とも。天鈿女命をまつる。境内の大田の沢にはカキツバタの野生群落（天然記念物）があり、5月上旬の開花時には参詣人と観賞者でにぎわう。,京都市北区上賀茂本山340,地下鉄「北山」駅下車、タクシー約5分市バス「上賀茂神社前」下車、徒歩約10分,-,-,075-781-0907,https://www.kamigamojinja.jp/shaden/oota/,京都市北区
大谷祖廟,真宗大谷派の本山の真宗本廟（東本願寺）が所有する墓地。浄土真宗の宗祖・親鸞の墓所。親鸞の墳墓は「御廟」と呼称される。聖人をはじめ、本願寺の歴代、全国各地の寺院・ご門徒の方々のご遺骨が納められている。,京都市東山区円山町477,市バス「祗園」下車、徒歩10分(南へ少し戻り、八坂神社南門前の東大谷参道を入る),5：00～17：00（受付8：45～11：30、12：45～15：30）,無休,075-561-0777,http://www.higashihonganji.or.jp/,京都市東山区
大原野神社,平安京以前に由緒をもつ古社で、延暦3年（784年）に桓武天皇が長岡京へ遷都した際、皇后の藤原乙牟漏が藤原氏の氏神である奈良・春日社（春日大社）の分霊を勧請して、しばしば鷹狩を行っていた大原野に祀ったのに始まる。「京春日」の別称がある。紅葉の名所としても名高い。,京都市西京区大原野南春日町1152,阪急バス「南春日町」下車、徒歩約10分,参拝自由,無休,075-331-0014,http://oharano-jinja.jp/,京都市西京区
岡崎神社,延暦13年（794年）、桓武天皇の平安京遷都の際に、王城鎮護のため平安京の四方に建てられた社の一つとされ、都の東に鎮座するころから東天王と称される。安産の神とされる他、多産である兎が神使であること、祭神の速素盞鳴尊と奇稲田姫命に子供が多いことから子授けの神ともされ、神社創建の由来から方除けの神ともされている。また、境内のあちらこちらにウサギの石像が存在する。,京都市左京区岡崎東天王町51,市バス「岡崎神社前」または「東天王町」下車、西へ徒歩3分,-,-,075-771-1963,https://okazakijinja.jp/,京都市左京区
愛宕念仏寺,天平神護2年（766年）、称徳天皇により今の京都・東山松原通の地、六波羅蜜寺の近くに愛宕寺として創建された。寺名の由来は山城国愛宕郡に初めて建てられた寺院だからだという。平安初期に鴨川の洪水で堂宇が流失し、醍醐天皇が天台の僧、千観内供に再興させて比叡山の末寺となった。本尊は千手観音像。千観内供は世に念仏上人といわれ、この寺も愛宕念仏寺と称するようになる,京都市右京区嵯峨鳥居本深谷町2-5,JR「嵯峨嵐山」駅下車、バス停「野々宮」より京都バス・清滝行「おたぎ寺前」下車（阪急嵐山駅前より・同上バス）,8：00～16：30,無休,075-285-1549,http://www.otagiji.com,京都市右京区
折上稲荷神社,創建は711年（和同4年）、西野山の三の峰に稲荷神が降りられたのと同時に、神社境内にある稲荷塚にも降りられたとされており、稲荷山の奥にあることから伏見稲荷大社の奥宮として創建されたいわれている。幕末に孝明天皇が即位される際、側に仕える女官の多くが病に倒れたことで天皇即位が危ぶまれた[1]。そこで神社に祈祷が命じられて祈願したことで女官は奇跡的に回復し事なきを得て、孝明天皇は女官たちが今後も元気で働いてくれるようと神社に「長命箸」を奉納された。これ以降、折上稲荷神社は「働く女性の守り神」として商売繁盛祈願など女性の崇尊を集め、J・P・モルガンの甥と結婚した芸妓であるモルガンお雪も深く信仰していたとされている。,京都市山科区西野山中臣町25,京阪バス17「折上神社前」下車、徒歩1分地下鉄東西線「椥辻」駅下車、徒歩15分京阪バス29、83、83A、84、85、85A「大石神社前」下車、徒歩5分,-,-,075-581-1834,https://origami-inari.jp/,京都市山科区
戒光寺,後掘河天皇のご勅願所として鎌倉時代中期に創建された戒光寺は応仁の乱で伽藍を消失するも、全高10mの木像「丈六釈迦如来像」(通称 丈六さん)は奇跡的にその大火から免れた。何度かの移築後、後水尾天皇のお身代わりになられたことから皇室の菩提所である泉涌寺の塔頭となる。喉元から何か流れているように見えるものはお身代わりにたたれた時についた血の跡だと伝えられる。以来「悪いことの身代わりになって下さる」「首から上の病気や喉の病気は特によく治して下さる」と言われお身代わりのお釈迦様として信仰が厚い。,京都市東山区泉涌寺山内町29,京阪電車・JR奈良線「東福寺」駅下車、徒歩約15分市バス「泉涌寺道」下車、徒歩約7分,-,-,075-561-5209,http://www.kaikouji.com/,京都市東山区
海宝寺,享保年間（1716 - 1736年）、萬福寺12世の杲堂元昶によって創建され、萬福寺13世竺庵浄印が隠居先としたという。もと開法寺という天台宗寺院であったものを竺庵浄印が改宗して海宝寺としたとする別伝もある。寺のある桃山町正宗は、仙台藩の藩祖伊達政宗の伏見城上屋敷があった場所で、町名もこれに由来する。境内には伊達家上屋敷跡の説明板が仙台市によって設置されている。大丸の創業者下村彦右衛門正啓[1]は竺庵に帰依し自ら浄財を投じて援助を続けた。普茶料理（中国式の精進料理）で知られ、山門には「普茶大本山開祖道場」の札が掛かる。,京都市伏見区桃山町正宗,京阪電車「墨染」駅下車、徒歩約10分京阪電車「丹波橋」駅下車、徒歩約15分市バス「最上町」下車、徒歩約5分近鉄「丹波橋」駅下車、徒歩15分JR「藤森」駅下車、徒歩10分,-,-,075-611-1672,-,京都市伏見区
勧修寺,真言宗山階派の大本山の寺院。本尊は千手観音。開基（創立者）は醍醐天皇、開山（初代住職）は承俊である。寺紋（宗紋）は裏八重菊。皇室と藤原氏にゆかりの深い寺院である。門跡寺院であり、「山階門跡」とも称する。庭園には桜、藤、杜若、花菖蒲などが咲き、冬には氷室池にマガモも訪れる。樹齢750年を超えるハイビャクシンや徳川光圀寄進の雪見灯籠も必見。,京都市山科区勧修寺仁王堂町27-6,地下鉄東西線「小野」下車、徒歩西へ6分小野駅に附近の地図があります。,9：00～16：00,年中無休,075-571-0048,-,京都市山科区
嘉祥寺,天台宗の寺院。嘉祥3年（850）に文徳天皇が父仁明天皇の陵墓に近接して建立された陵寺がはじまり。文徳天皇は清涼殿を嘉祥寺に移して堂とし、後に光孝天皇が五重塔を建立した。日本最古の歓喜天や、十一面観音、不動明王などが安置されている。,京都市伏見区深草坊町71,京阪電車「龍谷大前深草」または「藤森」駅下車、徒歩約15分市バス「地下鉄竹田」駅より（臨南5）「僧坊町」下車、徒歩約3分京阪電車「伏見稲荷」またはJR「稲荷」駅下車、徒歩20分,10：00～16：00,不定休,075-641-4102,https://www.instagram.com/kashojitemple/,京都市伏見区
賀茂別雷神社（上賀茂神社）,京都最古の歴史を有する一社であり、かつてこの地を支配していた古代氏族である賀茂氏の氏神を祀る神社として、賀茂御祖神社（下鴨神社）とともに賀茂神社（賀茂社）と総称される。賀茂社は奈良時代には既に強大な勢力を誇り、平安遷都後は皇城の鎮護社として京都という都市の形成に深く関わってきた。賀茂神社両社の祭事である賀茂祭（通称 葵祭）で有名である。ユネスコの世界遺産に「古都京都の文化財」の1つとして登録されている。,京都市北区上賀茂本山339,市バス・京都バス「上賀茂神社前」下車すぐ地下鉄「北大路」「北山」駅下車、車で約10分,5：30～17：00（二ノ鳥居内）,年中無休,075-781-0011,http://www.kamigamojinja.jp/,京都市北区
笠原寺,弘法大師1150年御遠忌（昭和59年）の記念事業として開山主笠原政江尼が発願し、有縁の方々、ご信徒各位のご信援のもと昭和58年10月建立された。川崎大師の京都別院として、御本尊、厄除弘法大師さまのご分躰を勧請し、奉安している。山の中腹にある境内からの眺望は素晴らしく、山科盆地や東山三十六峰が一望出来る。,京都市山科区大宅岩屋殿2,地下鉄「椥辻」駅下車、徒歩約20分京阪バス「橘大学」下車、徒歩5分京阪バス「大宅」下車、徒歩10分,9：00～16：00,年中無休,075-572-9400,https://ryugennji.com/,京都市山科区
元慶寺,桓武天皇の孫にあたる遍照は仁明天皇の崩御に従い出家し、延暦寺で仏門に入り、貞観11年(869年)に華山寺を創建したとされている。その後、元慶元年(877年)には清和天皇の勅願寺となり、崋山寺から元慶寺に名称を変更したと伝えられている。応仁の乱までは寺域も広かったが、応仁の乱で寺が焼失してから、現在みられるような小さい規模の寺になったといわれている。,京都市山科区北花山河原町13,地下鉄東西線「御陵」下車、出口3番より徒歩20分京阪バス（1時間1本）「北花山」下車、徒歩5分,8：00～17：00,年中無休,075-581-0183,-,京都市山科区
菅大臣神社,社地は今から約1000年前、菅原道真公の紅・白梅殿という邸宅や、また菅公生誕の地と伝えられ、境内には産湯の井戸が保存されている。仏光寺通を中心に南北二町、東西一町が当時の邸宅で、菅公が、大宰府へ左遷に当り『東風吹かば 匂ひをこせよ 梅の花 主なしとて 春な忘れそ』と詠んだ「飛梅の地」と伝えられる。,京都市下京区仏光寺通新町西入菅大臣町,地下鉄「四条烏丸」駅下車、徒歩約5分市バス「西洞院仏光寺」下車、徒歩約2分,-,-,075-351-6389,-,京都市下京区
今熊野観音寺,西国三十三ヶ所観音霊場の第十五番札所、ぼけ封じ・近畿十楽観音霊場の第一番札所、京都泉山七福神のえびす神奉祀、洛陽三十三所観音霊場の第十九番札所、神仏霊場会の１２２番（京都４２番）霊場として名高く、また古くからの霊験記にも記されている通り「頭の観音さん」として広く人々の信仰をあつめている。紅葉の名所でもある。,京都市東山区泉涌寺山内町32,京阪電車/JR「東福寺」駅下車、徒歩約15分市バス「泉涌寺道」下車、徒歩約10分,8：00～17：00,無休,075-561-5511,http://www.kannon.jp/,京都市東山区
祇王寺,『平家物語』に登場し、平清盛に寵愛された白拍子・祇王が、清盛の心変わりによって都を追われ、母と妹とともに出家・入寺した悲恋の尼寺。時代が下り鎌倉時代になると、法然上人の門弟・良鎮によって、この辺り一帯を境内とする往生院というお寺が創建され、祇王寺もその一部となるが、その後、往生院も荒廃してしまい、祇王寺は、ささやかな尼寺としてこの地に遺された。,京都市右京区嵯蛾鳥居本小坂町32,市バス/京都バス「嵯峨小学校前」下車、徒歩約15分,9：00～16：30（受付終了）,元日,075-861-3574,https://www.giouji.or.jp,京都市右京区
吉祥院天満宮,菅原道真公がなくなって３１年目に当たる承平四年（９３４）に菅原家ゆかりの道真公御誕生の地に朱雀天皇の勅命により創建された最初の天満宮である。これより先、平安遷都とともに文章博士として恒武天皇に随行された道真公の祖父清公卿は遣唐使の命を受けて唐へ渡航中暴風に遭遇、船上にて吉祥天女の霊験を得て入唐、無事任務を終えて帰国後、自邸内にお堂を建て吉祥天女の尊像をまつった。これが吉祥院の由来で地名の起源となっている。,京都市南区吉祥院政所町3（西大路十条西入ル北）,JR「西大路」駅下車、徒歩約15分市バス「吉祥院天満宮前」下車、徒歩約3分,-,-,075-691-5303,-,京都市南区
貴船神社,貴船山と鞍馬山に挟まれた森林鬱蒼とする山峡に鎮座する。社前には賀茂川の上流に位置する貴船川が流れており、京の市中を潤す鴨川の源流とも考えられた。水神である高龗神を祀り、古代の祈雨八十五座の一座とされるなど、古くから祈雨の神として信仰された。水の神様として、全国の料理・調理業や水を取扱う商売の人々から信仰を集めている。縁結びの神としての信仰もある。,京都市左京区鞍馬貴船町180,叡山電車「貴船口」下車、徒歩30分京都バス「貴船」下車、徒歩5分,6：00～20：00御守・御札・御朱印の授与は9：00～17：0012/1～4/30は拝観は18：00まで（正月3が日、冬・春のライトアップ除く）5/1～11/30は拝観は20：00まで（夏・秋のライトアップ期間は延長あり）,無休,075-741-2016,http://kifunejinja.jp/,京都市左京区
教王護国寺（東寺）,真言宗の総本山の寺院。平安京鎮護のための官寺として建立が始められた後、嵯峨天皇より空海（弘法大師）に下賜され、真言密教の根本道場として栄えた。明治維新まで、東寺の長官である4人の東寺長者は真言宗の最高位であり、中でも長者の筆頭である東寺一長者は律令制における仏教界の首座である法務も兼任する慣例だった。中世以降の東寺は弘法大師に対する信仰の高まりとともに「お大師様の寺」として庶民の信仰を集めるようになり、今日も京都の代表的な名所として存続している。1934年（昭和9年）に国の史跡に指定、1994年（平成6年）12月には「古都京都の文化財」の構成資産として世界遺産に登録された。,京都市南区九条町1,近鉄電車「東寺」駅下車、徒歩約10分市バス「東寺東門前」下車すぐJR「京都」駅下車、徒歩約15分,開門時間5：00～17：00金堂・講堂8：00～17：00（16：30受付終了）,無休,075-691-3325,http://www.toji.or.jp/,京都市南区
行願寺（革堂）,霊麀山行願寺と号する天台宗の寺院で、西国三十三所観音霊場の第十九番札所。寛弘元年（1004）に行円上人によって、一条小川（上京区）に創建された。子を孕んだ母鹿を射止めてしまったことを悔いた上人が、常にその皮をまとって鹿を憐れみ、人々から皮聖と呼ばれていたことから、革堂と呼ばれるようになった。以後、人々からの厚い信仰を受け、町堂として大いに栄えたが、度々の災火により寺地を転々とし、宝永五年（1708）の大火の後、当地に移された。,京都市中京区寺町通竹屋町上ル行願寺門前町17,京阪電車「神宮丸太町」駅下車、徒歩10～15分市バス「河原町丸太町」下車、徒歩5分,拝観時間7:00～17:00（納経は8:00から）,無休,075-211-2770,https://kaudau.jp/,京都市中京区
更雀寺,藤原実方が藤原行成と殿中で口論となり、行成の烏帽子えぼしを庭に投げ捨てた事で、陸奥守に任じられる。彼地で没した実方の帰洛の思いが妄執となり、雀となって帰来したと言われる。その後雀塚を建てて、実方の霊を弔ったことから、雀寺の通称で呼ばれるようになった。,京都市左京区静市市原町738-1,叡山電車鞍馬線「京都精華大前」駅下車、徒歩約3分京都バス40・50「精華大前」下車、徒歩3分,-,年中随時,075-781-2115,-,京都市左京区
