name,description,phone_number,address,access,business_hours,homepage,holiday,genre
東山茶寮,上質な本物の宇治茶をふんだんに使用し、素晴らしい風味を楽しめる宇治茶専門の甘味処。抹茶づくしのセットやパフェ、あんみつなどが楽しめる。,075-532-0873,〒605-0846 京都府京都市東山区五条橋東４丁目４４８,京阪本線「清水五条駅」下車 徒歩約7分,11:00～17:00(L.O.16:30),https://www.kyo-ohana.com/,水曜日,プレート パフェ あんみつ
TEO KAFON,日本の喫茶文化と海外のカフェ文化の融合”をコンセプトに作られた、抹茶にフォーカスした新感覚のカフェ。オリジナル抹茶を5つの味で楽しめる抹茶スイーツプレートが味わえる。,075-223-1400,〒604-8035 京都府京都市中京区桜之町４４７,京都本線「河原町駅」徒歩5分地下鉄東西線「京都市役所前駅」徒歩8分地下鉄東西線、京阪本線「三条駅」徒歩8分,11:00～18:00(L.O.17:30),https://www.instagram.com/teokafon/,火曜日,プレート
けずりひや京都祇園,新雪のようにさらさらな食感の氷をベースに、厳選された京都のお抹茶やほうじ茶を食べる、新感覚の京都氷菓のお店。,075-541-2650,〒605-0074 京都市東山区祇園町南側555番地 アパホテル京都祇園エクセレント地下1階,京阪「祇園四条駅」から徒歩約6分,[通常] 12:30 - 17:30 (L.O.17:00) [夏期] 11:00 - 18:30 (L.O.18:00),http://kezurihiya.com/,なし,かき氷
甘党茶屋 梅園 三条寺町店,甘味処・梅園のプロデュース。洋館のような空間で多彩な和スイーツが楽しめる。宇治ひやしぜんざい、クリームぜんざい、かき氷、あんみつなどが味わえる。,075-211-1235,〒604-8081 京都府京都市中京区天性寺前町５２６,地下鉄東西線「京都市役所前駅」徒歩１０分,10:30 ～ 19:30（LO 19:20）,https://umezono-kyoto.com/sanjo/,なし,ぜんざい あんみつ かき氷
うめぞの茶房,甘味処・梅園のプロデュース。西陣に立つ築100年の町屋を改造。餡や寒天、わらび粉をベースにしたかざり羹「抹茶」を食べられる。,075-432-5088,〒603-8223 京都府京都市北区紫野東藤ノ森町１１−１,京都市バス「大徳寺前」停留所より徒歩約5分京都市バス「堀川鞍馬口」停留所より徒歩約7分地下鉄烏丸線「鞍馬口」駅から徒歩約17分,12:15-18:00(17:30L.O.),https://umezono-kyoto.com/nishijin/,不定休,ぷるぷるスイーツ
うめぞのCAFE&GARALLEY,甘味処・梅園のプロデュース。町屋を改装した店内はナチュラルな雰囲気。箸で食べられる程柔らかい抹茶ホットケーキが楽しめる。,075-241-0577,〒604-8215 京都府京都市中京区不動町１８０,京都市営地下鉄「四条駅」、阪急京都線「烏丸駅」下車徒歩７分,11:30-19:00(18:30L.O.),https://umezono-kyoto.com/cafe/,年中無休,パンケーキ
梅香堂,昭和28年創業、地域に愛される甘味処。可愛い手描きのイラストで書かれたメニューは40種類以上。手作りの抹茶ゼリーが主役の「小倉抹茶ゼリーパフェ」が食べられる。,075-561-3256,〒605-0952 京都府京都市東山区今熊野宝蔵町６,京都市営バス「今熊野」停留所からすぐJR奈良線、京阪本線「東福寺駅」から徒歩10分,10:00～18:00 (L.O.17:30),https://twitter.com/baikoudo,火曜日 (祝日の場合は翌日),パフェ
Salon de KANBAYASHI 上林春松本店,創業４５０年の京都宇治の老舗茶舗・上林春松本店が選定した玉露と煎茶を、実際にお客様が急須で淹れて愉しめるサロン。パティシエ手作りの抹茶ガトーショコラやアフタヌーンティーが味わえる。,075-551-3633,〒605-0828 京都市東山区下河原通高台寺塔之前上る 金園町400番1 AKAGANE RESORT KYOTO HIGASHIYAMA 1925内,京阪電鉄「祇園四条駅」より徒歩12分阪急電鉄京都線「河原町駅」より徒歩15分,11:30-17:00,https://www.salondekanbayashi.com/,定休日：火曜日・土日祝不定休,アフタヌーンティー ケーキ
ぎおん徳屋,京都らしい町並みが続く花見小路に佇む甘味処。何よりも大事にしているのは素材の質。高級抹茶柳桜園の濃い茶を和三盆糖と合わせたお抹茶の本くずもちが楽しめる。,075-561-5554,〒605-0074 京都府京都市東山区祇園町南側570-127,京阪本線「祇園四条」駅(6番出口)から徒歩6分阪急京都線「河原町」駅(1A出口)から徒歩8分,12:00～18:00,http://gion-tokuya.jp/,不定休,ぷるぷるスイーツ
家守堂,「安本茶舗」をリノベーションしたマイクロブルワリー。ビールだけでなく、サーバーから注がれるナイトログリーンティーが味わえる。他にも抹茶ソフトや抹茶チーズケーキが食べられる。,075-603-3080,〒612-8056 京都府京都市伏見区中油掛町108,京阪本線「中書島駅」「伏見桃山駅」、近鉄「桃山御陵駅」より徒歩6分,11:00-22:00,https://yamorido.jp/,月曜日（月曜日が祝日の場合はその翌日）,ドリンク アイスクリーム ケーキ
amagami kyoto,京都の有名バリスタ・岡田章宏がプロデュースするシュークリーム専門店。隠れ家的ロケーションも魅力。見た目も可愛く、濃い抹茶を使用している手毬型シュークリーム抹茶味が味わえる。,075-351-2011,〒600-8099 京都市下京区仏光寺通烏丸東入ル上柳町315-11,阪急電鉄「烏丸駅」・京都市営地下鉄「四条駅」 3番出口より徒歩1分,11:00～18:00,https://amagami-kyoto.com/amagami/,水曜日、木曜日,シュークリーム
京洋菓子司ジュヴァンセル 祇園店,和素材を取り入れた京洋菓子店のスイーツカフェ。抹茶チョコを使用した祇園フォンデュや、抹茶アイスのサンド、生ケーキなどが食べられる。,075-551-1521,〒605-0821 京都市東山区八坂鳥居前南入清井町482 京ばんビル2F,京阪本線「祇園四条駅」から徒歩10分阪急京都線「河原町駅」から徒歩15分,10：00～18：00（L.O 17:30）,https://jouvencelle.jp/store/gion,火曜定休（祝日は営業）,フォンデュ アイスクリーム ケーキ
eXcafe京都嵐山本店,古民家をリノベーションして作られたカフェ。襖に書かれたアートやお庭も楽しめる。可愛い傘が付いている天龍寺パフェや、自分でお団子を焼けるほくほく団子セットなどが楽しめる。,075-882-6366,〒616-8384 京都府京都市右京区嵯峨天龍寺造路町３５−３,京福線「嵐山駅」から徒歩1分ＪＲ線「嵯峨嵐山駅」から徒歩10分,平日：10:00～18:00 土日：10：00～18:00,https://tabelog.com/kyoto/A2601/A260403/26005251/,不定休,パフェ お団子
ともみジェラーto,農家から直送される素材をそのままダイレクトに味わうことができるジェラート屋。宇治の茶園の茶葉を使い、程よい苦味とまろやかさを味わえる抹茶ジェラートが楽しめる。他にも旬の野菜やフルーツを使ったジェラートが常時10種ほどある。,,〒600-8029  京都府京都市下京区西橋詰町759番地 SAKIZO河原町五条ビル 1階 ,京阪本線「祇園五条」駅から徒歩4分,13:00-22:00,http://tomomigelato.jp/?page_id=32,水・木曜日,アイスクリーム
茶香房 長竹,先斗町の石畳の路地にある日本茶専門のカフェ。様々な抹茶スイーツを生み出した草分け的存在。わらび餅やパフェ、あんみつなどが楽しめる。,075-213-4608,〒604-8016 京都府京都市中京区 先斗町通三条下ル材木町189 ８番路地,京阪本線「三条」駅から徒歩4分京阪本線「祇園四条」駅から徒歩6分,13:00～22:00,https://tabelog.com/kyoto/A2601/A260301/26000022/,火曜日•水曜日,パフェ あんみつ ぷるぷるスイーツ
家傳京飴 祇園小石,創業80年以上の老舗京飴専門店に併設する茶房。観光の合間に立ち寄れる好立地。抹茶シフォンパフェや抹茶あんみつなどが味わえる。,075-531-0331,〒605-0073 京都府京都市東山区祇園町北側２８６−２,京阪本線「祇園四条」駅(7番出口)から徒歩5分阪急京都線「河原町」駅(1A出口)から徒歩8分,10:30～19:30,https://www.g-koisi.com/hpgen/HPB/categories/9341.html,無休,パフェ あんみつ
ぎおん石 喫茶室,鉱物、化石から、モダンな美術工芸品、アクセサリー小物を展示しているショールームに併設されている純喫茶。店内は祇園の喧騒から離れて静かに過ごすことができる。京都らしい抹茶パフェやクリームあんみつ、ケーキなどが楽しめる。,075-561-2458,〒605-0074 京都府京都市東山区祇園町南側555,京阪本線「祇園四条」駅(7番出口)から徒歩5分阪急京都線「河原町」駅(1A出口)から徒歩7分,11:00～20:00(L.O.19:30),https://www.gionishi.com/gion/,無休,パフェ あんみつ ケーキ
新八茶屋,「渡月橋」のたもとにあるソフトクリーム・ジェラート屋さん。イタリア国際ジェラート大会で3位入賞した実力がある。元祖抹茶ソフトクリームや抹茶のジェラートが味わえる。,075-861-0117,〒616-8384 京都市右京区嵯峨天龍寺造路町37-17,京福電鉄嵐山線「嵐山」駅下車、徒歩1分JR西日本山陰本線「嵯峨嵐山」駅下車、徒歩10分阪急嵐山線「嵐山」駅下車、徒歩10分,9:30 – 18:00(冬季17：30閉店),https://shinpachichaya.com/,木曜日,アイスクリーム
cafe ゆきかぐれ,有機栽培コーヒーや手づくりのケーキ＆フードが楽しめるカフェ。近くには新撰組で有名な寺田屋や長建寺、伏見の酒蔵など名所旧跡がある。パフェやチーズケーキ、パンケーキなどが楽しめる。,075-611-1771,〒612-8224 京都市伏見区葭島矢倉町５７－4,京阪本線「中書島駅」北改札口から徒歩1分,11：00～21：00　（ラストオーダー20：00）,https://yukikagure.p-kit.com/,月曜日※月曜日が祝日の場合は営業し、火曜日お休み。(加えて年末年始も休み),パフェ パンケーキ ケーキ
一乗寺中谷,三代にわたる老舗の和菓子処の茶屋。懐かしい雰囲気のカフェスペースで、パフェやかき氷、ぜんざい、ごはんものなどが味わえる。,075-781-5504,〒606-8151 京都府京都市左京区一乗寺花ノ木町５,叡山電鉄「一乗寺駅」から東へ徒歩6分。京都駅より市バス5系統（四条烏丸、四条河原町、三条京阪前経由）、四条烏丸より65系統、北大路バスターミナルより北8系統を利用。「一乗寺下り松町」から徒歩1分。,9:00～19:00（L.O.18:00),https://www.ichijouji-nakatani.com/cafe.html,水曜日,パフェ かき氷 ぜんざい
IORI 京都大丸店,1716年創業の老舗和菓子屋が手掛けるカフェ。百貨店内にあり立ち寄りやすい。計算された抹茶パフェやシフォンケーキ、アフォガードなどが楽しめる。,075-241-7033,〒600-8511 京都市下京区四条通高倉西入立売西町79番地 大丸京都店 地下１階,阪急京都線「烏丸駅」より徒歩1分地下鉄烏丸線「四条駅」より徒歩2分,10:00～20:00 （L.O.19：30）,https://www.sasayaiori.com/store/p-171/,大丸京都店に準ずる,パフェ ケーキ
笹屋伊織 別邸,1716年創業の老舗和菓子屋が手掛けるカフェ。駅から連絡通路で繋がっているため、アクセスも大変便利。見目麗しいパフェやアフタヌーンティー、かき氷などが楽しめる。,075-322-8078,〒600-8842 京都市下京区朱雀堂ノ口町20-4 ホテル エミオン 京都1F,JR嵯峨野線「梅小路京都西」駅より連絡通路で徒歩2分,11：00～18：00　カフェラストオーダー　フード15：00　その他17：30,https://www.sasayaiori.com/store/p-7571/,無休,パフェ アフタヌーンティー かき氷
SASAYAIORI+ 京都御苑,1716年創業の老舗和菓子屋が手掛けるカフェ。一般財団法人国民公園協会様との協働運営として京都御苑内の近衞邸休憩所に出店。パフェやかき氷、ふっくらしたどら焼きなどが食べられる。,075-256-7177,〒602-0881 京都府京都市上京区京都御苑 3,市営地下鉄烏丸線「今出川」駅より徒歩5分,午前10時～午後4時30分　※ラストオーダー：午後4時,https://www.sasayaiori.com/store/p-11219/,月曜日(月曜日が祝日の場合は翌平日)、年末年始,パフェ かき氷
GOCHIO cafe,“碾茶”を栽培・製造する【茶園清水屋】が直営する茶農家カフェ。商品には“香料”、“着色料”、“保存料”は一切使用しない拘りを持つ。シングルオリジンのお茶を使用した、濃茶パフェや抹茶クレープなどが味わえる。,0774 -25 -3335,〒611-0021 京都府宇治市宇治壱番６３,JR奈良線「宇治」駅より徒歩3分京阪電車 京阪宇治線 「宇治」駅より徒歩10分,11:00 - 16:30（L.O16:00）,https://gochio.kyoto.jp/access/,月〜木曜日,パフェ クレープ
永楽屋 喫茶室,創業70年以上、佃煮とお菓子を扱うお店の喫茶室。選りすぐりの素材と丁寧なものづくりに拘っている。様々な素材が楽しめる抹茶パフェやわらび餅、ぜんざいなどが楽しめる。,075-221-2318,〒604-8026 京都市中京区河原町四条上る東側,阪急京都線「河原町駅」3番出口から徒歩1分,10:00-19:00,https://www.eirakuya.co.jp/room/,年中無休,パフェ ぷるぷるスイーツ ぜんざい
パティスリー＆カフェ デリーモ 京都店,チョコレートに魅せられたショコラティエが、立ち上げたパティスリー。京都で生まれたショコラと抹茶のコラボ、黒抹茶を贅沢に使用した、黒抹茶ショコラパフェや、黒抹茶パンケーキは京都店限定。,075-746-5300,〒600-8216京都府京都市下京区烏丸通塩小路 下ル東塩小路町 ジェイアール京都伊勢丹 JR西口改札前 イートパラダイス,JR「京都駅」から徒歩1分,平日 10:00-22:00(LO21:00) 土日祝 8:00-22:00(LO21:00),https://de-limmo.jp/pages/kyoto,施設に準ずる,パフェ パンケーキ
八十八良葉舎,嵐電「車折神社」駅の斜め前に佇むテイクアウト主体のコンパクトな日本茶スタンド。その場でお抹茶を点てて飲む本格抹茶ラテや、抹茶餡が載っている綺麗な見た目の抹茶プリンが楽しめる。,075-881-1881,​〒616-8343 京都市右京区嵯峨朝日町22-66,京福「車折神社駅」から27m,10:00〜17:00,https://www.8108kyoto.com/,不定休,ドリンク ぷるぷるスイーツ
ますだ茶舗,大正元年創業、添加物等は一切使用せず、厳選した本物の宇治茶のみをブレンドするお茶の専門店。高級抹茶「初昔」をふんだんに使用し、碾きたての抹茶パウダーをかけた元祖抹茶掛けソフトやほうじ茶ソフトが食べられる。,0774-21-4034,〒611-0021 京都府宇治市宇治蓮華21-3,JR奈良線「宇治」駅より徒歩8分京阪電車 京阪宇治線 「宇治」駅より徒歩7分,10:00～17:00,https://masudachaho.com/,不定休,アイスクリーム
