name,description,address,access,business_hours,holiday,phone_number,homepage,area
蓮臺山捴見院阿弥陀寺,浄土宗の寺院で、織田信長・信忠父子の菩提寺として知られる。天文24年（1555）、玉誉清玉上人が近江坂本に開いたのが始まりで、信長の帰依を得て寺を上京へ移した。本能寺の変の直後、清玉は自ら本能寺に駆けつけて信長の遺灰を持ち帰り、ここに葬ったと伝わる。境内には信長・信忠や、森蘭丸ら家臣の墓がある。,京都市上京区寺町今出川上ル鶴山町14,京阪電車「出町柳」駅、徒歩約10分地下鉄烏丸線「今出川」駅下車、徒歩約10分市バス「河原町今出川」下車、徒歩約8分,-,-,075-231-3538,-,京都市上京区
阿弥陀寺＜左京区＞,大原の山あい、古知谷にたたずむ浄土宗の寺院。慶長14年（1609）、弾誓上人が念仏道場として開いた。上人は岩窟にこもって修行し、自らの姿を刻んだという「植髪の尊像」を残して入定したと伝わる。本尊の阿弥陀如来坐像は重文。宝物殿に上人の遺品や皇室ゆかりの品を伝え、参道のカエデが彩る紅葉の名所としても知られる。,京都市左京区大原古知平町83,京都バス「古知谷」下車、徒歩約15分,9：00～16：00,1月、2月は休み（正月三ヶ日は天候により開くことがある）,075-744-2048,-,京都市左京区
粟田神社,素戔嗚尊・大己貴命を主祭神とする神社で、厄除け・疫病除けの神として崇敬される。貞観年間、清和天皇の勅願により創建されたと伝わる。京の七口の一つ「粟田口」に鎮座し、東海道・東山道を行き来する旅人が道中の安全を祈ったことから、「旅立ち守護」の神として信仰を集めてきた。大燈呂が巡行する秋の粟田祭でも知られる。,京都市東山区粟田口鍛冶町1,地下鉄東山駅又は蹴上下車徒歩約5分市バス神宮道下車徒歩約3分,8:30～17:00,無休,075-551-3154,https://awatajinja.jp/,京都市東山区
安祥院,浄土宗の寺院。天慶5年（942）、朱雀天皇の勅願で天台座主の尊意僧正が乙訓郡に開いた仁王護国院を前身と伝える。享保10年（1725）、木食正禅養阿上人がこの地に再興した。地蔵堂に祀る地蔵尊は、日数を限って願をかけると叶うとされ、「日限地蔵（日限さん）」と呼ばれ親しまれる。,京都市東山区五条通東大路東入遊行前町560,市バス「五条坂」下車、徒歩約5分,-,-,075-561-0655,-,京都市東山区
慈圓山安養寺,時宗の寺院で、延暦年間に伝教大師最澄が開いた古寺に始まると伝わる。平安末期、青蓮院の慈円が、迫害を受けた法然・親鸞をこの地に庇護し、その草庵「吉水草庵」が結ばれたことから、慈円にちなんで安養寺と改められた。法然ゆかりの念仏の聖地として知られ、円山の高台に建つことから「吉水草庵」「円山安養寺」とも呼ばれる。,京都市東山区八坂鳥居前東入円山町,市バス「祇園」下車、徒歩約15分,8：00～17：00,無休,075-561-5845,-,京都市東山区
住蓮山安楽寺,浄土宗の寺院で、鎌倉初期、法然の弟子・住蓮房と安楽房が念仏道場として結んだ草庵に始まる。両僧の念仏に感化された後鳥羽上皇の女房が出家したことが上皇の怒りを招き、二人は処刑され、法然も流罪となった（建永の法難）。「松虫鈴虫寺」とも呼ばれる。中風除けを願う7月のカボチャ供養や、桜・つつじ・紅葉の名所として知られる。,京都市左京区鹿ヶ谷御所ノ段町21,市バス「錦林車庫前」下車、徒歩約10分,10：00～16：00（最終入山16：00）,-,075-771-5360,http://anrakuji-kyoto.com/,京都市左京区
安楽寿院,真言宗智山派の寺院で、本尊は阿弥陀如来。鳥羽上皇が離宮・鳥羽殿の東殿に造営した仏堂を起源とする、皇室ゆかりの寺である。境内に接して鳥羽天皇と近衛天皇の陵があり、皇室との深い結びつきを今に伝える。本尊阿弥陀如来坐像や石造五輪塔、絹本着色孔雀明王像など、重要文化財に指定された貴重な仏教美術を所蔵する。,京都市伏見区竹田中内畑町74,地下鉄・近鉄電車「竹田」下車、徒歩約10分,-,-,075-601-4168,http://www.anraku.or.jp/,京都市伏見区
市比賣神社,桓武天皇が平安京遷都の際、東西の市座（官営市場）を守護する神社として延暦14年（795）に創建したと伝わる。祭神は多紀理比賣命など五柱で、いずれも女神であることから「女人厄除け」の社として全国の女性の信仰を集める。歴代皇后の崇敬も篤い。境内の名水「天之真名井」に絵馬を奉じて祈ると一つの願いが叶うといい、姫みくじやカード塚でも知られる。,京都市下京区河原町五条下ル一筋目（市姫通）西入ル,京阪「清水五条」駅下車、徒歩5分市バス「河原町正面」下車、徒歩2分京都バス「河原町五条」下車、徒歩2分,-,-,075-361-2775,https://www.ichihime.net/,京都市下京区
新熊野神社,熊野信仰が盛んだった平安末期の永暦元年（1160）、後白河上皇が紀州熊野の神を勧請して創建した神社。生涯に三十四度も熊野へ詣でた上皇が、遠い紀伊に代わって都で参拝できるよう、自らの御所・法住寺殿の鎮守として営んだ。社名は「いまくまの」と読む。境内には上皇お手植えと伝わる大樟がそびえ、お腹と健康の神として信仰される。,京都市東山区今熊野椥（ナギ）ノ森町42,京阪電車「七条」または「東福寺」駅下車、徒歩約15分市バス「今熊野」下車、徒歩約3分,-,-,075-561-4892,http://imakumanojinja.or.jp,京都市東山区
新日吉神宮,永暦元年（1160）、後白河上皇が院の御所・法住寺殿の鎮守として、近江の日吉大社から山王七社を勧請して創建した神社で、「いまひえ」と読む。後白河上皇を主祭神に加えて祀る。猿を神の使いとし、境内には「真猿（まさる）」と呼ばれる狛猿が鎮座する。「魔が去る」「勝る」に通じるとして、魔除け・必勝の信仰を集める。,京都市東山区妙法院前側町451-1,市バス「東山七条」下車、徒歩約5分,-,-,075-561-3769,http://www.imahie.com,京都市東山区
志明院,鴨川の源流域、雲ケ畑の山中にたたずむ真言宗系の山岳寺院で、岩屋山と号する。天長6年（829）、淳和天皇の勅願により空海が創建したと伝わり、本尊の不動明王は空海自刻の日本最古の不動明王像といわれる。司馬遼太郎が愛した山寺で、宮崎駿が「もののけ姫」の着想を得た森ともいわれる。境内のシャクナゲ林は市の天然記念物で、晩春が見頃。,京都市北区雲ケ畑出谷町261,地下鉄「北大路」駅より雲ヶ畑地域生活交通で「雲ヶ畑岩屋橋」下車（1日2本）,-,-,075-406-2061,-,京都市北区
岩屋神社,本殿背後の山腹にある陰陽二つの巨巌（奥之院・岩屋殿）を磐座として祀ったことに始まる、山科最古とされる古社。社伝では仁徳天皇31年の発祥と伝わり、宇多天皇の寛平年間に陽巌へ天忍穂耳命、陰巌へ栲幡千々姫命、岩前の小社に饒速日命を祀ったとされる。山科を開拓した大宅氏が祖神を祀ったものといわれ、山科東北部一帯の産土神として広く信仰されてきた。,京都市山科区大宅中小路町67,京阪バス「大宅」下車、東へ徒歩約15分地下鉄東西線「椥辻」駅下車、東へ徒歩約25分,-,無休,075-571-0833,http://www.iwayanomori.org/shrine/,京都市山科区
引接寺（千本閻魔堂）,高野山真言宗の寺院で、「千本ゑんま堂」の名で親しまれる。冥土と現世を行き来して閻魔王に仕えたという伝説をもつ小野篁が、葬送の地・蓮台野の入口にあたるこの地に閻魔像を刻んで祀ったのが始まりと伝わる。本尊の閻魔法王坐像は日本最大級。紫式部の供養塔が建ち、毎春の「ゑんま堂大念仏狂言」や普賢象桜でも知られる。,京都市上京区千本通蘆山寺上ル閻魔前町34,市バス「乾隆校前」または「千本鞍馬口」下車、徒歩約2分,-,-,075-462-3332,http://yenmado.blogspot.com/,京都市上京区
梅宮大社,酒造の神・大山祇神らを祀る神社で、橘氏の氏神として知られる。奈良時代に橘諸兄の母・県犬養三千代が創祀し、平安初期に嵯峨天皇の后・檀林皇后（橘嘉智子）が現在地へ遷したと伝わる。皇后が子宝を願って霊験を得たことから、子授け・安産の神として信仰を集める。境内の「またげ石」をまたぐ授子信仰や、猫が多い「猫神社」としても親しまれる。,京都市右京区梅津フケノ川町30,阪急電車嵐山線「松尾大社」下車、徒歩約15分市バス「梅宮大社前」下車、徒歩約3分,9：00～17：00（受付終了16：30）,無休,075-861-2730,http://www.umenomiya.or.jp/,京都市右京区
圓通寺,岩倉にある臨済宗妙心寺派の寺院で、もと後水尾上皇の山荘「幡枝離宮」だった地に開かれた。修学院離宮の前身にあたる。一面の杉苔に覆われた枯山水庭園は、生け垣ごしに比叡山を望む借景式庭園として名高く、国の名勝に指定されている。後水尾院が選び抜いた比叡を借景に取り込んだ庭が、当時のままに伝えられている。,京都市左京区岩倉幡枝町389,叡山電車「京都精華大」下車、徒歩約25分京都バス「自動車教習所前」下車、徒歩約10分京都バス「西幡枝(円通寺前)」下車、徒歩3分地下鉄烏丸線「北山」駅下車、徒歩約30分,10：00～16：30,毎週水曜日12月末に3日間（不定）特別法要日,075-781-1875,-,京都市左京区
圓徳院,高台寺の塔頭で、豊臣秀吉の正室・北政所（ねね）が晩年を過ごした地として知られる。高台寺建立の前年、慶長11年（1606）に伏見城から化粧御殿と前庭を移したことに始まる。北政所はここで19年を過ごし生涯を閉じた。伏見城から移したと伝わる豪壮な石組の北庭（名勝）や、長谷川等伯筆の襖絵などが見どころ。,京都市東山区高台寺下河原町530,市バス206「東山安井」下車、徒歩5分京阪電車「祇園四条」下車、徒歩約20分阪急電車「京都河原町」下車、徒歩約20分,10：00～17：00,無休,075-525-0101,https://www.kodaiji.com/entoku-in/,京都市東山区
大石神社,忠臣蔵で名高い赤穂藩の家老・大石内蔵助良雄を祭神とする神社。内蔵助が討ち入り前に隠棲した山科の地に、昭和10年（1935）全国の崇敬者の浄財により創建された。主君の仇討ちという大願を果たした故事にちなみ、大願成就の信仰を集める。宝物殿には四十七士ゆかりの品が並び、毎年12月14日には義士祭を斎行。春には御神木の枝垂桜「大石桜」が見事に咲く。,京都市山科区西野山桜馬場町116,京阪バス「大石神社前」下車、徒歩約2分,9：00～16：00,なし,075-581-5645,http://www.ohishi-jinja.jp/,京都市山科区
大田神社,上賀茂神社の境外摂社で、古くは「恩多社」とも称された式内社。天鈿女命を主祭神とし、長寿や芸能上達の信仰を集める。社頭の「大田の沢」に群生する野生のカキツバタは国の天然記念物で、平安期に藤原俊成も歌に詠んだ。5月上旬の開花期には、青紫の花がいっせいに咲き、参拝者や観賞客でにぎわう。,京都市北区上賀茂本山340,地下鉄「北山」駅下車、タクシー約5分市バス「上賀茂神社前」下車、徒歩約10分,-,-,075-781-0907,https://www.kamigamojinja.jp/shaden/oota/,京都市北区
大谷祖廟,真宗大谷派（東本願寺）が営む親鸞聖人の墓所で、「東大谷」の通称で知られる。文永9年（1272）に東山に築かれた親鸞の廟堂に由来し、のち現在地に整えられた。宗祖の御真骨を納める御廟を中心に、歴代門首や全国の門徒の遺骨が納められている。盆の万灯会には多くの参拝者が訪れる。,京都市東山区円山町477,市バス「祗園」下車、徒歩10分(南へ少し戻り、八坂神社南門前の東大谷参道を入る),5：00～17：00（受付8：45～11：30、12：45～15：30）,無休,075-561-0777,http://www.higashihonganji.or.jp/,京都市東山区
大原野神社,平安京以前に由緒をもつ古社で、延暦3年（784年）に桓武天皇が長岡京へ遷都した際、皇后の藤原乙牟漏が藤原氏の氏神である奈良・春日社（春日大社）の分霊を勧請して、しばしば鷹狩を行っていた大原野に祀ったのに始まる。「京春日」の別称がある。紅葉の名所としても名高い。,京都市西京区大原野南春日町1152,阪急バス「南春日町」下車、徒歩約10分,参拝自由,無休,075-331-0014,http://oharano-jinja.jp/,京都市西京区
岡崎神社,延暦13年（794）の平安遷都にあたり、王城鎮護のため都の四方に祀られた社の一つと伝わり、都の東に位置することから「東天王」と称される。速素盞嗚尊・奇稲田姫命の夫婦神とその御子神を祀る。多産な兎を神使とし、祭神に子が多いことから、子授け・安産・縁結びの神として信仰を集める。境内には愛らしい兎の像や授与品が並ぶ。,京都市左京区岡崎東天王町51,市バス「岡崎神社前」または「東天王町」下車、西へ徒歩3分,-,-,075-771-1963,https://okazakijinja.jp/,京都市左京区
愛宕念仏寺,天台宗の寺院で、「おたぎねんぶつじ」と読む。天平神護2年（766）、称徳天皇により東山の地に創建されたのが起こりで、山城国愛宕郡で最初の寺だったことが寺名の由来という。荒廃したのち、大正期に現在の嵯峨鳥居本へ移された。昭和の復興の際、参拝者の手で彫られた、表情ゆたかな約千二百体の石造の羅漢像「千二百羅漢」で名高い。,京都市右京区嵯峨鳥居本深谷町2-5,JR「嵯峨嵐山」駅下車、バス停「野々宮」より京都バス・清滝行「おたぎ寺前」下車（阪急嵐山駅前より・同上バス）,8：00～16：30,無休,075-285-1549,http://www.otagiji.com,京都市右京区
折上稲荷神社,和銅4年（711）、稲荷大神が伏見稲荷の稲荷山に降りた際、次にこの折上の地へ降臨したとされ、「伏見稲荷の奥宮」とも称される古社。幕末、孝明天皇が女官の病平癒を祈願して長命箸を奉納したことから、「働く女性の守り神」として信仰を集めるようになった。境内には古墳と伝わる稲荷塚があり、商売繁盛や健康を願う女性の参拝でにぎわう。,京都市山科区西野山中臣町25,京阪バス17「折上神社前」下車、徒歩1分地下鉄東西線「椥辻」駅下車、徒歩15分京阪バス29、83、83A、84、85、85A「大石神社前」下車、徒歩5分,-,-,075-581-1834,https://origami-inari.jp/,京都市山科区
戒光寺,泉涌寺の塔頭で、真言宗泉涌寺派の寺院。鎌倉中期、後堀河天皇の勅願所として創建された。応仁の乱などで移転を重ね、江戸初期に現在地へ落ち着いた。本尊は像高約10mの巨大な釈迦如来立像（重文）で「丈六さん」と親しまれる。後水尾天皇の身代わりに首から血を流したという伝説から、首から上の病にご利益があるとされる。,京都市東山区泉涌寺山内町29,京阪電車・JR奈良線「東福寺」駅下車、徒歩約15分市バス「泉涌寺道」下車、徒歩約7分,-,-,075-561-5209,http://www.kaikouji.com/,京都市東山区
海宝寺,享保年間（1716〜36）、黄檗宗萬福寺の杲堂元昶が創建し、のちに13世竺庵浄印が隠居所とした黄檗宗の寺院。寺の建つ桃山町正宗は、仙台藩祖・伊達政宗の伏見城上屋敷があった場所で、町名もこれに由来する。大丸百貨店の創業者・下村彦右衛門も竺庵に帰依し、援助を続けたと伝わる。中国風の精進料理「普茶料理」を味わえる寺としても知られる。,京都市伏見区桃山町正宗,京阪電車「墨染」駅下車、徒歩約10分京阪電車「丹波橋」駅下車、徒歩約15分市バス「最上町」下車、徒歩約5分近鉄「丹波橋」駅下車、徒歩15分JR「藤森」駅下車、徒歩10分,-,-,075-611-1672,-,京都市伏見区
勧修寺,真言宗山階派の大本山で、昌泰3年（900）、醍醐天皇が若くして亡くなった母・藤原胤子の菩提を弔うため、その祖父の邸宅跡を寺に改めて創建した。代々法親王が入る門跡寺院として栄え、「山階門跡」とも称される。宸殿や書院は明正天皇の旧殿を賜ったもの。氷室池を中心とした庭園では桜や藤、杜若、睡蓮が四季を彩り、徳川光圀寄進と伝わる勧修寺型灯籠も知られる。,京都市山科区勧修寺仁王堂町27-6,地下鉄東西線「小野」下車、徒歩西へ6分小野駅に附近の地図があります。,9：00～16：00,年中無休,075-571-0048,-,京都市山科区
嘉祥寺,天台宗の寺院で、嘉祥3年（850）に文徳天皇が父・仁明天皇の陵墓に近接して建てた陵寺をはじまりとする。文徳天皇は宮中の清涼殿を移して堂とし、のちに光孝天皇が五重塔を建立したと伝わる。日本最古とされる歓喜天像をはじめ、十一面観音や不動明王などを安置する。深草の地で平安初期の皇室信仰の名残をとどめる古刹である。,京都市伏見区深草坊町71,京阪電車「龍谷大前深草」または「藤森」駅下車、徒歩約15分市バス「地下鉄竹田」駅より（臨南5）「僧坊町」下車、徒歩約3分京阪電車「伏見稲荷」またはJR「稲荷」駅下車、徒歩20分,10：00～16：00,不定休,075-641-4102,https://www.instagram.com/kashojitemple/,京都市伏見区
賀茂別雷神社（上賀茂神社）,賀茂別雷大神を祀る山城国一宮で、「上賀茂さん」の名で親しまれる京都最古級の社。古代この地を治めた賀茂氏の氏神を祀り、下鴨神社とともに賀茂社と総称される。社伝では神山に降臨した祭神を、天武天皇の御代の677年に現在地へ祀ったのが起こりという。本殿・権殿は国宝で、境内の立砂や葵祭で名高く、世界遺産に登録されている。,京都市北区上賀茂本山339,市バス・京都バス「上賀茂神社前」下車すぐ地下鉄「北大路」「北山」駅下車、車で約10分,5：30～17：00（二ノ鳥居内）,年中無休,075-781-0011,http://www.kamigamojinja.jp/,京都市北区
笠原寺,川崎大師（神奈川）の京都別院として、昭和58年（1983）に開かれた真言宗の寺院。弘法大師1150年御遠忌の記念事業として、開山の笠原政江尼が発願し、信徒の支援を得て建立された。厄除け弘法大師の分躰を勧請して本尊とし、音羽の山の中腹に静かにたたずむ。写経や写仏の道場としても親しまれている。,京都市山科区大宅岩屋殿2,地下鉄「椥辻」駅下車、徒歩約20分京阪バス「橘大学」下車、徒歩5分京阪バス「大宅」下車、徒歩10分,9：00～16：00,年中無休,075-572-9400,https://ryugennji.com/,京都市山科区
元慶寺,天台宗の寺院で、貞観10年（868）、六歌仙の一人として知られる遍昭僧正が創建したのに始まる。元慶元年（877）に清和天皇の勅願寺となり、寺名を元慶寺と改めた。寛和2年（986）、花山天皇が藤原兼家・道兼父子の策略によりこの寺で出家させられた「寛和の変」の舞台として名高い。西国三十三所巡礼を復興した花山法皇ゆかりの寺として、番外札所に数えられる。,京都市山科区北花山河原町13,地下鉄東西線「御陵」下車、出口3番より徒歩20分京阪バス（1時間1本）「北花山」下車、徒歩5分,8：00～17：00,年中無休,075-581-0183,-,京都市山科区
菅大臣神社,菅原道真を祀る神社で、社地は道真の邸宅「紅梅殿・白梅殿」や生誕の地と伝えられ、境内には産湯に使ったという井戸が残る。大宰府へ左遷される道真が「東風吹かば匂ひおこせよ梅の花…」と詠んだ「飛梅」ゆかりの地ともされる。学問の神として受験生らの参拝を集め、本殿は下鴨神社の旧殿を移したものと伝わる。,京都市下京区仏光寺通新町西入菅大臣町,地下鉄「四条烏丸」駅下車、徒歩約5分市バス「西洞院仏光寺」下車、徒歩約2分,-,-,075-351-6389,-,京都市下京区
今熊野観音寺,泉涌寺の塔頭で、真言宗泉涌寺派の寺院。空海が熊野権現の導きにより一寺を開いたのが起こりと伝わる。西国三十三所観音霊場の第十五番札所で、本尊の十一面観音は「頭の観音さん」と呼ばれ、頭痛封じ・ぼけ封じの観音として信仰を集める。後白河上皇ゆかりの地でもあり、紅葉の名所としても知られる。,京都市東山区泉涌寺山内町32,京阪電車/JR「東福寺」駅下車、徒歩約15分市バス「泉涌寺道」下車、徒歩約10分,8：00～17：00,無休,075-561-5511,http://www.kannon.jp/,京都市東山区
祇王寺,真言宗の尼寺で、『平家物語』ゆかりの「悲恋の寺」として知られる。平清盛の寵愛を受けた白拍子・祇王が、清盛の心変わりで都を追われ、母と妹とともに出家して入った地と伝わる。緑の苔と楓に覆われた小さな草庵が、ひっそりと山ふところにたたずむ。本堂には祇王らや清盛の木像を安置する。苔と紅葉の名所として静かに親しまれている。,京都市右京区嵯蛾鳥居本小坂町32,市バス/京都バス「嵯峨小学校前」下車、徒歩約15分,9：00～16：30（受付終了）,元日,075-861-3574,https://www.giouji.or.jp,京都市右京区
吉祥院天満宮,菅原道真公がなくなって３１年目に当たる承平四年（９３４）に菅原家ゆかりの道真公御誕生の地に朱雀天皇の勅命により創建された最初の天満宮である。これより先、平安遷都とともに文章博士として恒武天皇に随行された道真公の祖父清公卿は遣唐使の命を受けて唐へ渡航中暴風に遭遇、船上にて吉祥天女の霊験を得て入唐、無事任務を終えて帰国後、自邸内にお堂を建て吉祥天女の尊像をまつった。これが吉祥院の由来で地名の起源となっている。,京都市南区吉祥院政所町3（西大路十条西入ル北）,JR「西大路」駅下車、徒歩約15分市バス「吉祥院天満宮前」下車、徒歩約3分,-,-,075-691-5303,-,京都市南区
貴船神社,貴船山と鞍馬山に挟まれた山峡に鎮座する古社で、全国の貴船神社の総本社。鴨川の源流にあたる地で、水を司る高龗神を祀り、古来、祈雨・止雨の神として朝廷の崇敬を集めた。歴代、雨乞いには黒馬、雨止めには白馬が献じられ、これが絵馬の起源とも伝わる。和泉式部の参詣で名高い縁結びの社でもあり、水に浮かべる「水占みくじ」も人気。,京都市左京区鞍馬貴船町180,叡山電車「貴船口」下車、徒歩30分京都バス「貴船」下車、徒歩5分,6：00～20：00御守・御札・御朱印の授与は9：00～17：0012/1～4/30は拝観は18：00まで（正月3が日、冬・春のライトアップ除く）5/1～11/30は拝観は20：00まで（夏・秋のライトアップ期間は延長あり）,無休,075-741-2016,http://kifunejinja.jp/,京都市左京区
教王護国寺（東寺）,真言宗の総本山の寺院。平安京鎮護のための官寺として建立が始められた後、嵯峨天皇より空海（弘法大師）に下賜され、真言密教の根本道場として栄えた。明治維新まで、東寺の長官である4人の東寺長者は真言宗の最高位であり、中でも長者の筆頭である東寺一長者は律令制における仏教界の首座である法務も兼任する慣例だった。中世以降の東寺は弘法大師に対する信仰の高まりとともに「お大師様の寺」として庶民の信仰を集めるようになり、今日も京都の代表的な名所として存続している。1934年（昭和9年）に国の史跡に指定、1994年（平成6年）12月には「古都京都の文化財」の構成資産として世界遺産に登録された。,京都市南区九条町1,近鉄電車「東寺」駅下車、徒歩約10分市バス「東寺東門前」下車すぐJR「京都」駅下車、徒歩約15分,開門時間5：00～17：00金堂・講堂8：00～17：00（16：30受付終了）,無休,075-691-3325,http://www.toji.or.jp/,京都市南区
行願寺（革堂）,霊麀山行願寺と号する天台宗の寺院で、西国三十三所観音霊場の第十九番札所。寛弘元年（1004）に行円上人によって、一条小川（上京区）に創建された。子を孕んだ母鹿を射止めてしまったことを悔いた上人が、常にその皮をまとって鹿を憐れみ、人々から皮聖と呼ばれていたことから、革堂と呼ばれるようになった。以後、人々からの厚い信仰を受け、町堂として大いに栄えたが、度々の災火により寺地を転々とし、宝永五年（1708）の大火の後、当地に移された。,京都市中京区寺町通竹屋町上ル行願寺門前町17,京阪電車「神宮丸太町」駅下車、徒歩10～15分市バス「河原町丸太町」下車、徒歩5分,拝観時間7:00～17:00（納経は8:00から）,無休,075-211-2770,https://kaudau.jp/,京都市中京区
更雀寺,浄土宗の寺院で、「雀寺」の通称で知られる。平安中期の歌人・藤原実方は、藤原行成と殿中で口論し、その烏帽子を投げ捨てた咎で陸奥守に左遷され、その地で没した。都への帰京の思いが妄執となって雀に化し、宮中へ飛び帰ったという伝説が残る。実方の霊を弔うために雀塚が築かれたことから、雀寺と呼ばれるようになった。,京都市左京区静市市原町738-1,叡山電車鞍馬線「京都精華大前」駅下車、徒歩約3分京都バス40・50「精華大前」下車、徒歩3分,-,年中随時,075-781-2115,-,京都市左京区
